,School,School Max Group,School Count Group
1189,IMG Academy,2,35
1190,Regents School,1,2
1191,Louisville Male,1,4
1194,Lexington Christian Academy,1,1
1195,Whale Branch,1,1
1196,Southeast Polk,2,3
1197,Langston Hughes,1,3
1198,Camden,2,3
1199,Mater Dei,2,9
1200,Post,1,2
1201,Rockwall-Heath,1,3
1202,Liberty Christian Academy,1,1
1203,Bishop Gorman,2,9
1204,Hun School,1,2
1206,Neville,1,3
1207,Lake Nona,1,1
1208,Gretna,1,1
1209,Chapin,1,2
1210,Tattnall Square Academy,1,1
1211,Eagles Landing Christian Academy,1,1
1212,De La Salle,1,2
1213,Bishop Gorman,2,9
1214,St. Thomas Aquinas,1,6
1218,Southern California Academy,10,4
1219,Centennial,10,2
1220,Sierra Canyon,10,6
1221,Centerville,7,1
1222,Montverde Academy,5,7
1223,Vertical Academy,4,1
1224,Bull City Prep,4,1
1225,Donda Academy,3,4
1226,IMG Academy,2,35
1227,Moravian Prep,2,1
1228,Hightower,2,2
1229,Oak Hill Academy,2,3
1230,Camden,2,3
1231,Crestwood Prep,2,1
1232,Taft,2,2
1233,Link Year Prep,2,5
1234,Kimball,2,1
1235,Sunrise Christian,1,7
1236,DME Academy,1,1
1237,ISA Academy,1,1
1238,Paul VI Catholic,1,3
1239,IMG Academy,2,35
1240,La Lumiere School,1,3
1241,Duncanville,1,7
1242,Bishop Gorman,2,9
1243,Prolific Prep,1,4
1244,The Skill Factory,1,2
1245,IMG Academy,2,35
1246,North Laurel,1,1
1247,Bristol Central,1,2
1248,Pine Crest School,1,2
1249,Prolific Prep,1,4
1250,PHHoenix Prep,1,1
1251,IMG Academy,2,35
1252,Cane Ridge,1,1
1253,Compass Prep,1,7
1254,Knoxville Catholic,1,3
1255,Prolific Prep,1,4
1256,Taft,2,2
1257,Westtown School,1,2
1258,Pine Crest School,1,2
1259,Bergen Catholic,1,5
1260,Compass Prep,1,7
1261,Roselle Catholic,1,1
1262,Link Year Prep,2,5
1263,Montverde Academy,5,7
1264,IMG Academy,2,35
1265,Donda Academy,3,4
1266,Richardson,1,2
1267,Huntington Prep,1,1
1268,Compass Prep,1,7
1269,Wheeler,1,1
1270,Compass Prep,1,7
1271,Cretin Derham Hall,1,1
1272,Yorkville Christian,1,1
1273,Notre Dame,1,1
1274,IMG Academy,2,35
1275,Southern California Academy,10,4
1276,Life Academy,1,1
1277,Menomonee Falls,1,1
1279,Northfield Mount Hermon,1,2
1280,Thornton Township,1,1
1281,Wasatch Academy,1,1
1282,Calvary Christian Academy,1,4
1283,Donda Academy,3,4
1284,IMG Academy,2,35
1285,Sierra Canyon,10,6
1286,La Lumiere School,1,3
1287,Archbishop Spalding,1,1
1288,Calvary Christian Academy,1,4
1289,Poca,1,1
1291,Link Year Prep,2,5
1292,Magnolia,1,1
1293,Chapin,1,2
1294,Duncanville,1,7
1295,Milton,1,7
1296,Montverde Academy,5,7
1297,IMG Academy,2,35
1298,Sunrise Christian,1,7
1299,Wilbraham & Monson Academy,1,1
1300,Ecorse Community,1,1
1301,Sunrise Christian,1,7
1302,Garfield Heights,1,1
1303,Lake Norman,1,1
1304,Florida State Univ. School,1,2
1305,Central Noble,1,1
1306,Morrilton,1,1
1307,Shadow Creek,1,3
1308,Richardson,1,2
1309,Commonwealth Academy,1,1
1310,Bishop O'Dowd,1,1
1311,Windermere,1,1
1312,Prolific Prep,1,4
1313,North Little Rock,1,2
1314,St. Vincent-St. Mary,1,1
1315,Northfield Mount Hermon,1,2
1316,Westfield,1,3
1317,Norcross,1,2
1318,Brewster Academy,1,3
1320,Oak Hill Academy,2,3
1321,Dream City Christian,1,3
1322,Ames,1,1
1323,Campolindo,1,1
1324,Legacy Early College,1,1
1325,Desert Vista,1,1
1326,St. Frances Academy,1,9
1327,Kenwood Academy,1,1
1328,NBA Global Academy,1,1
1329,Liberty Heights Athletic Institute,1,3
1330,Wagner HS,1,1
1331,Christopher Columbus HS,1,3
1332,Olympia,1,1
1333,Teays Valley Christian School,1,2
1334,Helsinki Basketball Academy,1,1
1335,Dublin Coffman,1,1
1336,Sunrise Christian,1,7
1337,Bartlett,1,1
1338,Bartlesville,1,1
1339,Zebulon B. Vance,1,3
1340,Putnam City North,1,2
1341,Sunrise Christian,1,7
1343,W J Keenan HS,1,1
1346,Woodward Career Technical,1,1
1348,Summer Creek,1,2
1350,Zionsville,1,3
1351,Denmark Olar Hi,1,1
1352,Lenape,1,1
1353,Dr. Phillips,1,2
1354,Duncanville,1,7
1355,Hillcrest Prep,1,2
1356,Denver Prep Academy,1,1
1357,Link Year Prep,2,5
1358,Compass Prep,1,7
1359,Memorial,1,4
1360,Madison Prep Academy,1,1
1361,Hamilton Heights Christian Academy,1,2
1362,Berkmar,1,1
1363,Chaminade,1,2
1364,Enderlin Area,1,1
1367,Camden,2,3
1368,Greenhill School,1,2
1369,Dream City Christian,1,3
1370,Donda Academy,3,4
1371,Christian Brothers College,1,1
1372,Cathedral,1,3
1373,Cannon School,1,1
1376,Del City,1,1
1377,Southern California Academy,10,4
1385,Asheville Christian Academy,1,1
1386,Ridge View,1,1
1387,Grand Island Senior Sch,1,1
1388,Compass Prep,1,7
1389,Word Of God Christian Academy,1,1
1390,West Side,1,1
1391,Richmond Heights,1,1
1392,Liberty Heights Athletic Institute,1,3
1393,West Oaks Academy,1,2
1394,Montverde Academy,5,7
1395,Sierra Canyon,10,6
1397,West Oaks Academy,1,2
1398,Whitney Young,1,2
1399,Park Senior,1,1
1400,Fayette County,1,1
1401,Grayson,1,3
1402,Pickerington Central,2,3
1403,Garland,1,2
1404,Link Year Prep,2,5
1406,Calvary Christian Academy,1,4
1407,Millard North,1,1
1409,South Portland,1,1
1410,Coronado,1,1
1411,St. Mark's,1,1
1412,Blue Ridge School,1,1
1414,Plano,1,1
1417,Booker T. Washington,1,3
1418,Stratford,1,2
1419,Pewaukee,1,1
1420,Legacy Charter,1,2
1421,Whitney Young,1,2
1422,IMG Academy,2,35
1423,Orlando Christian Prep,1,2
1426,Montverde Academy,5,7
1428,CPA,1,1
1429,St. Rita,1,2
1432,Cardinal Hayes,1,2
1433,Sierra Canyon,10,6
1434,McKinney,1,1
1435,Blair Academy,1,2
1436,Homestead,1,3
1437,San Joaquin Memorial,1,2
1438,Greenhill School,1,2
1439,Lawrence North,1,2
1441,Roman Catholic,1,2
1442,Crossroad Academy,1,1
1443,DeMatha Catholic,1,6
1444,Beaumont United,1,2
1445,Archbishop Moeller,1,2
1446,Memorial,1,4
1447,Ypsi Prep Academy,1,1
1448,Newton,1,4
1449,The Skill Factory,1,2
1450,Abraham Lincoln,1,1
1451,Compass Prep,1,7
1452,Hamilton Heights Christian Academy,1,2
1453,Dream City Christian,1,3
1454,Minnesota Preparatory Academy,1,2
1456,Paul VI Catholic,1,3
1457,Kingswood-Oxford School,1,1
1458,St. Patrick,1,1
1459,Totino-Grace,1,2
1461,Calvary Christian Academy,1,4
1465,East Ridge,1,1
1467,Orlando Christian Prep,1,2
1468,DeMatha Catholic,1,6
1469,Mt. Zion Prep,1,1
1470,North Little Rock,1,2
1471,Elkins,1,1
1474,Newton,1,4
1476,Park Center,1,1
1477,Heritage Christian School,1,1
1479,Minnehaha Academy,1,2
1480,Louisville Male,1,4
1481,Coppell,1,2
1482,McGill Toolen,1,1
1483,Hillcrest Prep,1,2
1484,Sierra Canyon,10,6
1485,Dacula,1,1
1486,Mount Saint Joseph,1,1
1487,Wayzata,1,1
1488,Brewster Academy,1,3
1489,Gill St Bernard S School,1,1
1490,East Rockingham,1,1
1491,Imhotep Institute,1,4
1492,Oak Hill Academy,2,3
1493,Legacy Charter,1,2
1494,Beaumont United,1,2
1495,Brewster Academy,1,3
1496,Crispus Attucks,1,1
1497,Wauwatosa East,1,1
1498,IMG Academy,2,35
1499,Sunrise Christian,1,7
1500,Harvard Westlake,1,1
1501,North Gwinnett,1,2
1503,Mansfield Legacy,1,1
1504,Totino-Grace,1,2
1505,iSchool Entrepreneurial Academy,1,1
1506,Paul VI Catholic,1,3
1508,Garfield,1,1
1509,Northside Christian Academy,1,1
1510,IMG Academy,2,35
1511,John Marshall,1,1
1514,Blue Valley,1,2
1515,New Hampton School,1,1
1516,St. John's,1,3
1517,John Paul II,1,1
1521,Sunrise Christian,1,7
1525,Fort Erie International Academy,1,1
1527,Tampa Catholic,1,2
1528,San Marcos,1,1
1530,Parklane Academy,1,1
1531,The Rock School,1,1
1532,Minnesota Preparatory Academy,1,2
1533,Montverde Academy,5,7
1535,Bradford Christian Academy,1,1
1536,DeMatha Catholic,1,6
1537,Texas Alliance of Christian Athletes,1,1
1538,Bradley Technology,1,1
1540,Osseo Senior,1,2
1542,Collins Hill,1,2
1543,Montverde Academy,5,7
1544,Westtown School,1,2
1545,St. Peters Prep,1,5
1546,Combine Academy,1,1
1547,La Lumiere School,1,3
1548,Gonzaga,1,2
1549,Christian Academy Of Louisville,1,1
1551,Life Center Academy,1,1
1552,South Cobb,1,1
1553,East St. Louis,2,4
1554,Goodpasture Christian School,1,1
1555,Milton,1,7
1556,St. Thomas Aquinas,1,6
1557,Gill St Bernards,1,1
1558,Wayne,1,3
1559,Greenforest Mccalep Christian Academy,1,1
1560,Teays Valley Christian School,1,2
1561,St. Frances Academy,1,9
1562,Landstown,1,1
1563,Crosby,1,1
1564,Liberty Heights Athletic Institute,1,3
1566,Southern California Academy,10,4
1567,Ballard,1,1
1569,Greensboro Day School,1,1
