,School,School Max Group,School Count Group
285,Homestead,1,3
286,Picayune Memorial,1,1
287,DeMatha Catholic,1,6
288,Martin Luther King,2,1
289,Floresville,1,1
291,West Charlotte,1,1
292,Appling County,1,1
293,Westview,2,2
294,Bloomington South,3,2
295,Miami Central,2,5
296,Puyallup,1,1
298,Deerfield Beach,1,2
299,Allen,1,2
300,St. John's,1,3
302,IMG Academy,2,35
303,Berryhill,1,1
304,Union,1,2
306,Dewitt,1,2
307,Zebulon B. Vance,1,3
308,Long Beach Poly,8,3
309,IMG Academy,2,35
310,IMG Academy,2,35
311,Pine Tree,1,1
312,Lowndes,1,2
313,Gulliver Prep,1,4
314,Green Oaks,2,1
315,Denmark,1,2
316,Etiwanda,1,1
318,Springfield,1,2
319,R Nelson Snider,1,1
320,North Shore,1,1
321,North Cobb,1,7
323,The Loomis Chaffee School,1,2
324,Cass Technical,1,1
325,Spring Valley,1,2
326,Marlin,1,2
327,Robert E. Lee,1,1
328,Texas High,1,1
329,Osceola,1,3
331,St. Frances Academy,1,9
332,Archbishop Alter,2,2
333,Choctaw,1,2
334,Belleville,1,4
335,Central,1,4
336,IMG Academy,2,35
337,Charles Herbert Flowers,1,2
338,Summit,1,2
339,Madison Academy,1,1
340,Edison,1,4
341,Corner Canyon,1,2
342,Milton,1,7
343,Woodrow Wilson,1,2
345,Naples,1,1
346,Bowie,1,1
347,Burke,1,1
348,Marshall,1,1
349,Bainbridge,1,1
350,The Kinkaid School,1,1
351,West Bloomfield,1,3
352,Eastside Catholic,1,1
353,Gladewater,1,1
355,Squalicum,1,1
356,North Kansas City,1,1
357,Dickinson,2,2
358,Griffin,1,1
359,Provine,1,1
360,Andrean,1,1
361,Auburn,1,4
362,Regents School,1,2
363,Downingtown West,1,1
364,Walled Lake Western,1,1
365,Pinnacle,1,1
366,Lutcher,1,1
368,Colleyville Heritage,1,1
369,Pearland,1,1
370,Derby,1,1
371,Good Counsel,1,2
372,Brookwood,1,1
373,Chandler,2,3
374,Dutchtown,1,2
375,Divine Child,1,1
376,Fitzgerald,1,1
377,American Heritage,1,6
378,St. John Bosco,1,12
379,Carrollwood Day,1,3
380,Treasure Coast,1,1
382,Lipscomb Academy,1,3
383,Fenwick,1,2
384,Zachary,1,2
385,Valley,1,1
386,Mater Dei,2,9
387,Mater Dei,2,9
388,Auburndale,1,1
389,Riverdale,1,3
391,Edison,1,4
393,Carver,1,4
395,Newton,1,4
396,Venice,1,2
397,IMG Academy,2,35
398,Joe T. Robinson,1,1
399,Central Catholic,1,4
400,Timber Creek,1,1
401,Catholic,1,1
402,Geneva County,1,1
403,Academy Of Holy Angels,1,1
404,Hillgrove,1,1
405,Imhotep Institute,1,4
406,Mater Dei,2,9
407,Bishop Alemany,1,5
408,Valdosta,1,3
409,Archbishop Wood,1,1
411,Amarillo,1,1
412,Columbus,1,2
413,St. Paul's School,1,1
414,Auburn,1,4
415,Westlake,3,6
417,Roswell,1,1
418,Rocky Mountain,1,2
419,Gonzaga,1,2
422,Cedar Grove,1,8
423,Bishop Gorman,2,9
424,Jackson,1,2
425,Franklin,1,2
426,Tuscarora,1,2
427,IMG Academy,2,35
428,Edison,1,4
429,Lincoln,2,8
431,Marysville,1,1
432,Lakeland,1,1
433,Lone Star,1,1
434,Dutchtown,1,2
435,F. W. Buchholz,1,2
436,Booker T. Washington,1,3
437,Cherry Creek,1,3
439,Nansemond-Suffolk Academy,1,1
440,Liberty,1,5
441,LaSalle,1,1
442,Klein Cain,1,3
444,St. Augustine,1,3
445,Liberty,1,5
446,Harry D Jacobs,1,1
447,Andrew Jackson,1,1
448,Lambert,1,2
449,Montgomery Bell Academy,1,2
450,Tampa Bay Tech,1,1
451,Catholic Memorial,1,1
452,Lincoln Southeast,1,1
453,Lord Botetourt,1,1
454,Rabun County,2,1
455,Cy Park,2,1
456,Permian,1,1
457,Corner Canyon,1,2
458,Junipero Serra,2,4
459,Stratford,1,2
460,The Bolles School,1,3
461,Mount Si,1,1
462,Cardinal Hayes,1,2
463,Santa Margarita Catholic,1,1
465,Benedictine Military School,1,1
466,Westminster School,1,2
467,Lewis Central,1,1
468,Eaton,1,2
469,Hewitt-Trussville,1,4
470,Whitefield Academy,1,1
472,Blue Springs,1,1
474,Sun Prairie,1,1
475,Itawamba Agricultural,1,1
476,St. Louis University,1,1
478,Buford,2,6
479,Post,1,2
480,East Forsyth,1,1
481,Cyprus,1,1
482,St. Frances Academy,1,9
483,Lamar,1,1
484,Fayetteville,1,1
485,Everett,1,1
486,Jackson North Side,1,1
488,Tupelo,1,1
489,Valdosta,1,3
490,Hebron Christian Academy,2,1
491,Milton,1,7
492,IMG Academy,2,35
493,The Bolles School,1,3
494,Guyer,1,2
495,Mountain View,1,1
498,Tilton School,1,1
499,Boyle County,1,1
500,Southern Nash,1,1
501,Hillsboro,1,1
502,Sergeant Bluff-Luton,1,1
503,Harrisburg,1,1
504,Thurston,1,1
505,Deer Creek,1,1
506,Mustang,1,2
507,Ponchatoula,1,2
508,American Heritage,1,6
510,Lowndes,1,2
511,Denison,1,1
512,Valdosta,1,3
513,Westlake,3,6
514,Eudora,1,1
515,Riverwood,1,1
516,Wylie E. Groves,1,1
517,Centennial,10,2
518,Eaton,1,2
519,Pittsburg,1,1
521,Argyle,1,1
522,Providence Day School,1,1
523,St. Mary's,1,2
524,Bergen Catholic,1,5
526,Columbia,1,2
527,Riverside High School,1,1
528,Lincoln,2,8
529,Florence,1,1
530,St. John Bosco,1,12
531,St. Frances Academy,1,9
533,Oconee County,1,1
534,Hayesville,1,1
535,Calvary Day School,1,2
536,Buford,2,6
537,Northwest,1,1
538,Bishop Gorman,2,9
539,Fairfield Preparatory School,1,1
541,Putnam City North,1,2
542,IMG Academy,2,35
543,Gulliver Prep,1,4
544,Longview,1,1
545,St. Thomas Aquinas,1,6
546,St. John Bosco,1,12
547,Schley County,1,1
548,Lincoln,2,8
549,Cedar Hill,1,1
550,Salisbury,1,1
551,Cedar Grove,1,8
552,Viera,1,1
553,Tyler Legacy,1,2
554,Forest,1,1
556,Roman Catholic,1,2
557,St. Joseph's Prep School,1,2
558,Parkview Magnet,1,2
560,Fort Pierce Westwood,1,1
561,Zebulon B. Vance,1,3
562,Carver,1,4
563,South Oak Cliff,1,3
564,Cedar Grove,1,8
565,Marlin,1,2
566,Oswego East,1,1
567,Opelika,1,1
568,Hays,2,1
569,Lee County,1,3
570,Lexington,1,1
572,Aledo,1,2
573,Junipero Serra,2,4
574,DeMatha Catholic,1,6
575,Liberty,1,5
576,Long Beach Poly,8,3
577,Clearwater Academy International,1,4
578,Amite,1,1
579,Martin,1,2
580,Havelock,1,1
581,Southeast Polk,2,3
582,Robbinsdale Cooper,1,1
583,Rockwall-Heath,1,3
584,Bergen Catholic,1,5
585,St. Peters Prep,1,5
586,Apple Valley,1,1
588,West Orange,1,3
589,Lake Stevens,1,1
590,Union,1,2
591,Dr. Henry Wise,1,1
593,Lincoln,2,8
594,Norco,1,1
595,Klein Cain,1,3
596,Harker Heights,1,2
598,Haywood,1,1
599,Clay-Chalkville,1,1
600,Hilton Head,1,1
601,St. Bernard,1,1
602,Hallandale,1,1
603,Lake Gibson,2,5
604,Memorial,1,4
605,Parkview Magnet,1,2
607,Deerfield Beach,1,2
608,Mauldin,1,1
609,Thompson,2,6
610,Belleville,1,4
611,Walkersville,1,1
612,Chaminade-Madonna Prep,1,4
613,Osseo Senior,1,2
614,King,1,2
615,IMG Academy,2,35
616,Marist,1,2
617,St. Francis,1,1
618,Greenland,1,1
619,Ascension Catholic,1,1
620,Bethany,1,1
621,Whitefish Bay,1,1
622,Brebeuf Jesuit,1,1
623,Benedictine,1,1
624,St. John's Prep,2,1
625,Arrowhead,1,1
626,Lakeridge,1,1
627,Exeter Township,1,1
628,Zionsville,1,3
630,Osceola,1,3
631,Flour Bluff,1,1
632,Northeast,1,2
633,DeSoto,2,2
634,Lincoln,2,8
635,Pine Forest,1,1
637,Hillsborough,1,1
638,Lafayette Christian Academy,1,1
639,Tylertown,1,1
640,West Orange,1,3
641,Duncanville,1,7
642,Westside,1,2
643,Westside,1,2
644,Garland,1,2
645,Oakland,1,1
648,Tyler Legacy,1,2
649,Don Bosco Prep,1,2
650,Independence,1,2
651,Archbishop Carroll,1,2
652,Bishop Alemany,1,5
653,Rainier Beach,1,1
654,Rockwall-Heath,1,3
655,Archbishop Moeller,1,2
656,Wayne,1,3
657,Greenville,1,3
658,Miami Central,2,5
659,Central,1,4
660,North Cobb,1,7
661,Lawrence Central,1,1
662,Life Christian Academy,1,2
663,Klein Oak,1,1
664,Holy Trinity Diocesan,1,1
665,St. Joseph's,1,1
666,Montgomery Catholic Preparatory,1,3
667,Desert Pines,1,1
668,Chiawana,2,1
669,St. John Bosco,1,12
670,St. Thomas Aquinas,1,6
671,Clear Lake,2,1
673,Valley Christian,1,1
674,Hewitt-Trussville,1,4
675,Blessed Trinity Catholic,1,1
676,Newton,1,4
677,Irvington,1,2
678,Manvel,1,1
679,St. Ignatius,1,1
680,East Paulding,1,1
681,Lake Oswego,1,1
682,Inglewood,1,4
683,Bishop Gorman,2,9
684,Wyomissing,1,1
685,Lakota West,1,3
686,Kankakee,1,1
687,Lake Gibson,2,5
688,St. Peters Prep,1,5
689,Duncanville,1,7
690,The Bolles School,1,3
692,Fenwick,1,2
693,Arthur Sr,1,1
694,Bellevue West,1,2
695,Buford,2,6
696,Franklin County,1,1
697,Westerville South,1,1
699,Southeast Polk,2,3
700,President Theodore Roosevelt,1,1
701,Festus,1,1
702,Amos P. Godby,1,2
703,St. Rita,1,2
704,Mansfield,1,1
705,Hamilton,2,2
706,Life Christian Academy,1,2
707,McEachern,1,4
708,Great Crossing,1,1
709,Atascocita,1,1
710,Oak Grove,1,1
711,Sierra Canyon,10,6
712,IMG Academy,2,35
714,Dougherty,1,1
717,Boyd-Buchanan School,1,1
719,St. John Bosco,1,12
720,North Gwinnett,1,2
721,Cedar Grove,1,8
722,IMG Academy,2,35
723,Summit,1,2
724,New Caney,1,1
725,St. Joseph's Prep School,1,2
726,Gardendale,1,1
727,Highland Home,1,1
728,Carver,1,4
729,Summer Creek,1,2
730,Northeast,1,2
731,Cathedral,1,3
732,Captain Shreve,1,1
733,Memorial,1,4
734,Merrillville,1,1
735,Delran,1,1
736,St. Peters Prep,1,5
737,Valley Forge,1,1
738,Chaminade-Madonna Prep,1,4
739,McCallie School,1,1
740,Berkeley Prep,1,2
741,IMG Academy,2,35
742,Imhotep Institute,1,4
743,St. Mary's,1,2
744,Bishop Alemany,1,5
745,Leuzinger,1,1
746,Servite,1,4
747,Matoaca,1,1
748,Poplarville,1,1
749,Shoemaker,1,2
750,Holmes County,1,1
751,Pike Road,1,3
753,Charlestown,1,1
754,DeMatha Catholic,1,6
755,IMG Academy,2,35
757,Calera,1,1
758,Lubbock-Cooper,1,1
759,Bishop Gorman,2,9
760,Germantown,1,2
761,Lambert,1,2
762,Bonneville,1,1
763,Memphis Academy of Health Sciences,1,1
764,Armwood,1,1
