Height_in_Inches,Weight_in_Kg,Followers Instagram,Followers Tiktok,Followers Twitter,School Max Group,School Count Group,Hometown Max Group,Hometown Count Group
75,182,2500,0,0,2,2,2,2
71,185,10200,0,0,1,1,1,1
77,210,2700,0,0,1,3,1,1
69,185,841,0,0,2,9,2,2
79,270,1500,0,0,1,3,1,1
72,180,4600,0,0,1,2,1,1
72,175,2700,0,0,1,3,5,5
71,170,9700,168,405,1,1,1,1
70,180,1900,1100,1700,1,2,1,1
73,205,2800,89,1800,1,1,1,1
74,180,3200,0,0,1,2,2,2
74,230,5200,0,0,2,35,1,1
77,290,4400,0,0,1,9,1,1
74,211,2100,0,0,1,1,1,1
74,178,13700,19,10300,2,35,1,1
76,250,1900,0,0,1,1,1,1
74,180,5500,99000,1000,1,1,1,1
76,265,3300,584,3200,1,1,1,1
73,221,1400,0,0,1,2,1,1
73,185,1600,0,0,1,1,1,1
77,260,887,0,0,1,1,1,1
78,290,3000,0,0,1,2,1,1
78,309,1600,561,4300,1,2,1,1
73,205,9400,0,0,1,1,1,1
75,275,2100,0,0,1,1,1,1
71,163,2700,0,0,1,2,1,1
72,220,1100,230,3100,1,3,1,1
76,220,2400,0,0,2,8,1,1
70,172,13100,0,0,1,1,1,1
77,215,3400,1600,2600,1,1,1,1
72,181,4300,0,0,1,1,1,1
77,290,3500,0,0,1,2,1,1
78,235,7400,173,2600,1,2,1,1
70,175,4700,0,0,1,2,1,1
72,173,10900,16600,4600,1,1,1,1
75,195,14100,0,0,1,2,2,2
75,307,4600,1500,7300,1,1,1,1
72,208,10200,34,8400,1,2,1,1
77,207,2000,118,775,1,1,1,1
75,295,8200,1100,6600,1,8,1,1
74,181,1900,0,0,1,9,1,1
0,0,1500,157,2100,1,2,2,2
72,180,8,0,0,1,1,1,1
71,178,723,0,0,1,3,1,1
75,194,11800,0,0,1,1,1,1
70,175,2100,674,1100,1,1,1,1
70,188,5100,311,4400,1,1,1,1
78,290,422,0,0,1,3,1,1
